Date,location,pm2.5
2020-01-01,Cannon Hill,5.925
2020-01-01,Collingwood Park,6.916666666666670
2020-01-01,Fisherman Island,7.054166666666670
2020-01-01,Hopeland,8.295833333333330
2020-01-01,Lytton,3.670833333333330
2020-01-01,Miles Airport,26.520833333333300
2020-01-01,Rocklea,6.770833333333330
2020-01-01,South Brisbane,7.170833333333330
2020-01-01,South Gladstone,6.4750000000000000
2020-01-01,Springwood,3.3125
2020-01-01,Tara Region,10.263636363636400
2020-01-01,Woolloongabba,7.979166666666670
2020-01-01,Wynnum North,4.794736842105260
2020-01-01,Wynnum West,3.0833333333333300
2020-01-02,Brisbane City,5.416666666666670
2020-01-02,Cannon Hill,5.3625
2020-01-02,Collingwood Park,5.575
2020-01-02,Fisherman Island,4.683333333333330
2020-01-02,Hopeland,5.45
2020-01-02,Lytton,1.4666666666666700
2020-01-02,Miles Airport,8.308333333333330
2020-01-02,Rocklea,5.8375000000000000
2020-01-02,South Brisbane,5.391666666666670
2020-01-02,South Gladstone,4.783333333333330
2020-01-02,Southport,4.483333333333330
2020-01-02,Tara Region,7.070833333333330
2020-01-02,Woolloongabba,5.266666666666670
2020-01-02,Wynnum North,1.9333333333333300
2020-01-02,Wynnum West,1.7739130434782600
2020-01-03,Brisbane City,6.454166666666670
2020-01-03,Cannon Hill,6.0125
2020-01-03,Fisherman Island,6.691666666666670
2020-01-03,Hopeland,4.979166666666670
2020-01-03,Miles Airport,4.75
2020-01-03,Mount Coot-tha,6.791666666666670
2020-01-03,Rocklea,5.495833333333330
2020-01-03,South Brisbane,6.4750000000000000
2020-01-03,South Gladstone,3.420833333333330
2020-01-03,Southport,5.354166666666670
2020-01-03,Springwood,3.475
2020-01-03,Tara Region,5.9000000000000000
2020-01-03,Woolloongabba,6.083333333333330
2020-01-03,Wynnum North,3.0875
2020-01-03,Wynnum West,2.4291666666666700
2020-01-04,Brisbane City,5.1000000000000000
2020-01-04,Fisherman Island,7.520833333333330
2020-01-04,Hopeland,2.9291666666666700
2020-01-04,Lytton,4.291666666666670
2020-01-04,Miles Airport,5.373913043478260
2020-01-04,Mount Coot-tha,5.3500000000000000
2020-01-04,Rocklea,6.204166666666670
2020-01-04,South Brisbane,5.516666666666670
2020-01-04,South Gladstone,2.6791666666666700
2020-01-04,Southport,6.429166666666670
2020-01-04,Springwood,3.045833333333330
2020-01-04,Tara Region,4.4750000000000000
2020-01-04,Woolloongabba,5.48695652173913
2020-01-04,Wynnum North,3.55
2020-01-04,Wynnum West,4.07
2020-01-05,Brisbane City,3.8125
2020-01-05,Cannon Hill,4.8625
2020-01-05,Fisherman Island,2.8041666666666700
2020-01-05,Hopeland,0.8125
2020-01-05,Lytton,4.509090909090910
2020-01-05,Miles Airport,1.0166666666666700
2020-01-05,Mount Coot-tha,2.6125000000000000
2020-01-05,Rocklea,3.545833333333330
2020-01-05,South Brisbane,4.983333333333330
2020-01-05,South Gladstone,2.8958333333333300
2020-01-05,Southport,1.2583333333333300
2020-01-05,Springwood,4.183333333333330
2020-01-05,Tara Region,1.5291666666666700
2020-01-05,Woolloongabba,4.954166666666670
2020-01-05,Wynnum North,2.9476190476190500
2020-01-05,Wynnum West,1.508333333333330
2020-01-06,Brisbane City,6.966666666666670
2020-01-06,Cannon Hill,7.0375000000000000
2020-01-06,Hopeland,1.4750000000000000
2020-01-06,Lytton,8.513636363636360
2020-01-06,Miles Airport,2.8541666666666700
2020-01-06,Mount Coot-tha,6.433333333333330
2020-01-06,Rocklea,10.478947368421100
2020-01-06,South Brisbane,6.0125
2020-01-06,South Gladstone,8.666666666666670
2020-01-06,Southport,2.9416666666666700
2020-01-06,Springwood,6.8
2020-01-06,Tara Region,2.970833333333330
2020-01-06,Woolloongabba,7.3375000000000000
2020-01-06,Wynnum North,3.7950000000000000
2020-01-06,Wynnum West,2.8250000000000000
2020-01-07,Brisbane City,6.658333333333330
2020-01-07,Cannon Hill,6.233333333333330
2020-01-07,Hopeland,1.7750000000000000
2020-01-07,Lytton,4.070833333333330
2020-01-07,Miles Airport,3.6875
2020-01-07,Mount Coot-tha,4.504166666666670
2020-01-07,Rocklea,6.921739130434780
2020-01-07,South Brisbane,8.033333333333330
2020-01-07,South Gladstone,3.4125
2020-01-07,Southport,4.695833333333330
2020-01-07,Springwood,6.104166666666670
2020-01-07,Tara Region,4.466666666666670
2020-01-07,Woolloongabba,8.183333333333330
2020-01-07,Wynnum North,3.2416666666666700
2020-01-07,Wynnum West,3.6958333333333300
2020-01-08,Brisbane City,5.004166666666670
2020-01-08,Cannon Hill,4.3375000000000000
2020-01-08,Hopeland,1.7083333333333300
2020-01-08,Lytton,2.6916666666666700
2020-01-08,Miles Airport,3.4583333333333300
2020-01-08,Mount Coot-tha,3.9916666666666700
2020-01-08,Rocklea,5.577272727272730
2020-01-08,South Brisbane,5.133333333333330
2020-01-08,South Gladstone,5.341666666666670
2020-01-08,Southport,4.708333333333330
2020-01-08,Springwood,3.4250000000000000
2020-01-08,Tara Region,3.529166666666670
2020-01-08,Woolloongabba,6.75
2020-01-08,Wynnum North,2.433333333333330
2020-01-08,Wynnum West,2.0434782608695700
2020-01-09,Brisbane City,11.5
2020-01-09,Cannon Hill,10.700000000000000
2020-01-09,Hopeland,6.070833333333330
2020-01-09,Lytton,11.458333333333300
2020-01-09,Miles Airport,7.816666666666670
2020-01-09,Mount Coot-tha,12.791666666666700
2020-01-09,Rocklea,9.220833333333330
2020-01-09,South Brisbane,11.35
2020-01-09,South Gladstone,7.375
2020-01-09,Southport,10.795833333333300
2020-01-09,Springwood,10.875
2020-01-09,Tara Region,6.033333333333330
2020-01-09,Woolloongabba,11.291666666666700
2020-01-09,Wynnum North,8.279166666666670
2020-01-09,Wynnum West,8.378260869565220
2020-01-10,Brisbane City,5.233333333333330
2020-01-10,Cannon Hill,5.170833333333330
2020-01-10,Hopeland,4.175
2020-01-10,Lytton,3.3666666666666700
2020-01-10,Miles Airport,7.25
2020-01-10,Mount Coot-tha,4.4125
2020-01-10,Rocklea,3.345833333333330
2020-01-10,South Brisbane,5.104166666666670
2020-01-10,South Gladstone,7.720833333333330
2020-01-10,Southport,3.6916666666666700
2020-01-10,Springwood,3.3125
2020-01-10,Tara Region,6.191666666666670
2020-01-10,Woolloongabba,5.4875
2020-01-10,Wynnum North,4.968181818181820
2020-01-10,Wynnum West,3.404166666666670
2020-01-11,Brisbane City,5.3875
2020-01-11,Cannon Hill,7.979166666666670
2020-01-11,Hopeland,1.325
2020-01-11,Lytton,4.179166666666670
2020-01-11,Mount Coot-tha,4.429166666666670
2020-01-11,Rocklea,4.745833333333330
2020-01-11,South Brisbane,5.154166666666670
2020-01-11,South Gladstone,6.454166666666670
2020-01-11,Southport,4.904166666666670
2020-01-11,Springwood,3.9875000000000000
2020-01-11,Tara Region,2.4916666666666700
2020-01-11,Woolloongabba,4.729166666666670
2020-01-11,Wynnum North,10.210000000000000
2020-01-11,Wynnum West,3.5
2020-01-12,Brisbane City,10.491666666666700
2020-01-12,Cannon Hill,7.308333333333330
2020-01-12,Hopeland,25.141666666666700
2020-01-12,Lytton,4.352173913043480
2020-01-12,Miles Airport,18.720833333333300
2020-01-12,Mount Coot-tha,9.629166666666670
2020-01-12,Rocklea,7.8
2020-01-12,South Brisbane,10.129166666666700
2020-01-12,South Gladstone,4.304166666666670
2020-01-12,Southport,7.266666666666670
2020-01-12,Springwood,7.866666666666670
2020-01-12,Tara Region,35.00833333333330
2020-01-12,Woolloongabba,9.604166666666670
2020-01-12,Wynnum North,6.233333333333330
2020-01-12,Wynnum West,4.458333333333330
2020-02-01,Cannon Hill,5.945833333333330
2020-02-01,Collingwood Park,6.608333333333330
2020-02-01,Fisherman Island,6.283333333333330
2020-02-01,Hopeland,11.116666666666700
2020-02-01,Lytton,3.220833333333330
2020-02-01,Miles Airport,13.920833333333300
2020-02-01,Rocklea,6.129166666666670
2020-02-01,South Brisbane,5.358333333333330
2020-02-01,South Gladstone,6.6000000000000000
2020-02-01,Springwood,1.3041666666666700
2020-02-01,Tara Region,12.645833333333300
2020-02-01,Woolloongabba,6.295833333333330
2020-02-01,Wynnum North,2.0095238095238100
2020-02-01,Wynnum West,2.5708333333333300
2020-02-02,Brisbane City,5.295833333333330
2020-02-02,Cannon Hill,4.1625000000000000
2020-02-02,Collingwood Park,4.829166666666670
2020-02-02,Fisherman Island,5.291666666666670
2020-02-02,Hopeland,6.991666666666670
2020-02-02,Lytton,2.534782608695650
2020-02-02,Miles Airport,5.1875
2020-02-02,Rocklea,4.777272727272730
2020-02-02,South Brisbane,5.2
2020-02-02,South Gladstone,4.741666666666670
2020-02-02,Southport,5.620833333333330
2020-02-02,Tara Region,7.745833333333330
2020-02-02,Woolloongabba,5.066666666666670
2020-02-02,Wynnum North,8.08235294117647
2020-02-02,Wynnum West,2.9791666666666700
2020-02-03,Brisbane City,6.2375
2020-02-03,Cannon Hill,6.99
2020-02-03,Fisherman Island,6.979166666666670
2020-02-03,Hopeland,4.508333333333330
2020-02-03,Miles Airport,6.05
2020-02-03,Mount Coot-tha,5.8500000000000000
2020-02-03,Rocklea,5.870833333333330
2020-02-03,South Brisbane,6.083333333333330
2020-02-03,South Gladstone,3.1458333333333300
2020-02-03,Southport,6.908333333333330
2020-02-03,Springwood,4.05
2020-02-03,Tara Region,5.508333333333330
2020-02-03,Woolloongabba,5.866666666666670
2020-02-03,Wynnum North,7.413636363636360
2020-02-03,Wynnum West,3.3625000000000000
2020-02-04,Brisbane City,5.345833333333330
2020-02-04,Cannon Hill,2.4583333333333300
2020-02-04,Fisherman Island,6.05
2020-02-04,Hopeland,2.8541666666666700
2020-02-04,Lytton,3.1130434782608700
2020-02-04,Miles Airport,4.433333333333330
2020-02-04,Mount Coot-tha,5.22608695652174
2020-02-04,Rocklea,4.670833333333330
2020-02-04,South Brisbane,5.545833333333330
2020-02-04,South Gladstone,2.066666666666670
2020-02-04,Southport,4.870833333333330
2020-02-04,Springwood,3.8666666666666700
2020-02-04,Tara Region,3.5375
2020-02-04,Woolloongabba,5.533333333333330
2020-02-04,Wynnum North,4.340909090909090
2020-02-04,Wynnum West,2.317391304347830
2020-02-05,Brisbane City,4.345833333333330
2020-02-05,Cannon Hill,5.004166666666670
2020-02-05,Fisherman Island,4.120833333333330
2020-02-05,Hopeland,2.4916666666666700
2020-02-05,Lytton,5.2625
2020-02-05,Miles Airport,3.216666666666670
2020-02-05,Mount Coot-tha,4.020833333333330
2020-02-05,Rocklea,5.1875
2020-02-05,South Brisbane,4.920833333333330
2020-02-05,South Gladstone,1.3958333333333300
2020-02-05,Southport,2.191666666666670
2020-02-05,Springwood,9.866666666666670
2020-02-05,Tara Region,3.908333333333330
2020-02-05,Woolloongabba,4.616666666666670
2020-02-05,Wynnum North,3.1666666666666700
2020-02-05,Wynnum West,1.7708333333333300
2020-02-06,Brisbane City,3.6208333333333300
2020-02-06,Cannon Hill,1.5782608695652200
2020-02-06,Hopeland,1.3125
2020-02-06,Lytton,5.519047619047620
2020-02-06,Miles Airport,2.6125000000000000
2020-02-06,Mount Coot-tha,3.5750000000000000
2020-02-06,Rocklea,3.447058823529410
2020-02-06,South Brisbane,3.3333333333333300
2020-02-06,South Gladstone,3.525
2020-02-06,Southport,1.6125
2020-02-06,Springwood,4.325
2020-02-06,Tara Region,3.0083333333333300
2020-02-06,Woolloongabba,3.725
2020-02-06,Wynnum North,2.3333333333333300
2020-02-06,Wynnum West,1.4727272727272700
2020-02-07,Brisbane City,8.112500000000000
2020-02-07,Cannon Hill,10.6875
2020-02-07,Hopeland,1.8666666666666700
2020-02-07,Lytton,6.120833333333330
2020-02-07,Miles Airport,3.5083333333333300
2020-02-07,Mount Coot-tha,6.633333333333330
2020-02-07,Rocklea,7.976923076923080
2020-02-07,South Brisbane,8.333333333333330
2020-02-07,South Gladstone,3.3125
2020-02-07,Southport,4.0250000000000000
2020-02-07,Springwood,12.783333333333300
2020-02-07,Tara Region,2.7000000000000000
2020-02-07,Woolloongabba,8.8375
2020-02-07,Wynnum North,5.1
2020-02-07,Wynnum West,4.465217391304350
2020-02-08,Brisbane City,7.483333333333330
2020-02-08,Cannon Hill,9.725
2020-02-08,Hopeland,1.5833333333333300
2020-02-08,Lytton,4.5125
2020-02-08,Miles Airport,2.5500000000000000
2020-02-08,Mount Coot-tha,4.470833333333330
2020-02-08,Rocklea,9.335000000000000
2020-02-08,South Brisbane,8.233333333333330
2020-02-08,South Gladstone,3.4250000000000000
2020-02-08,Southport,4.741666666666670
2020-02-08,Springwood,6.216666666666670
2020-02-08,Tara Region,3.1333333333333300
2020-02-08,Woolloongabba,8.975
2020-02-08,Wynnum North,4.521739130434780
2020-02-08,Wynnum West,3.7875
2020-02-09,Brisbane City,9.625
2020-02-09,Cannon Hill,8.604166666666670
2020-02-09,Hopeland,13.800000000000000
2020-02-09,Lytton,5.1500000000000000
2020-02-09,Miles Airport,14.829166666666700
2020-02-09,Mount Coot-tha,10.208333333333300
2020-02-09,Rocklea,6.970833333333330
2020-02-09,South Brisbane,9.241666666666670
2020-02-09,South Gladstone,7.041666666666670
2020-02-09,Southport,5.395833333333330
2020-02-09,Springwood,6.691666666666670
2020-02-09,Tara Region,15.945833333333300
2020-02-09,Woolloongabba,9.762500000000000
2020-02-09,Wynnum North,3.8708333333333300
2020-02-09,Wynnum West,3.6333333333333300
2020-02-10,Brisbane City,8.145833333333330
2020-02-10,Cannon Hill,7.516666666666670
2020-02-10,Hopeland,2.954166666666670
2020-02-10,Lytton,6.5250000000000000
2020-02-10,Miles Airport,4.633333333333330
2020-02-10,Mount Coot-tha,7.254166666666670
2020-02-10,Rocklea,6.1125
2020-02-10,South Brisbane,8.183333333333330
2020-02-10,South Gladstone,12.362500000000000
2020-02-10,Southport,4.4125000000000000
2020-02-10,Springwood,4.279166666666670
2020-02-10,Tara Region,3.7708333333333300
2020-02-10,Woolloongabba,7.658333333333330
2020-02-10,Wynnum North,5.229166666666670
2020-02-10,Wynnum West,4.833333333333330
2020-02-11,Brisbane City,5.45
2020-02-11,Cannon Hill,4.858333333333330
2020-02-11,Hopeland,3.295833333333330
2020-02-11,Lytton,3.8041666666666700
2020-02-11,Mount Coot-tha,5.0875000000000000
2020-02-11,Rocklea,4.233333333333330
2020-02-11,South Brisbane,6.895833333333330
2020-02-11,South Gladstone,16.675
2020-02-11,Southport,4.1375
2020-02-11,Springwood,3.3791666666666700
2020-02-11,Tara Region,4.179166666666670
2020-02-11,Woolloongabba,5.25
2020-02-11,Wynnum North,0.6125000000000000
2020-02-11,Wynnum West,2.433333333333330
2020-02-12,Brisbane City,12.25
2020-02-12,Cannon Hill,5.4375
2020-02-12,Hopeland,9.130000000000000
2020-02-12,Lytton,6.0875000000000000
2020-02-12,Miles Airport,10.683333333333300
2020-02-12,Mount Coot-tha,13.416666666666700
2020-02-12,Rocklea,11.791666666666700
2020-02-12,South Brisbane,11.025
2020-02-12,South Gladstone,3.904166666666670
2020-02-12,Southport,13.762500000000000
2020-02-12,Springwood,8.725
2020-02-12,Tara Region,12.945833333333300
